idRestaurant,name,borough,inspectionDate,grade
41025331,GUY & GALLARD 8,MANHATTAN,2016-05-17,
41688594,THE FALAFEL SHOP,MANHATTAN,2014-07-09,
50012427,CAFFE BENE,MANHATTAN,2014-10-15,
40991365,NAM SON RESTAURANT,MANHATTAN,2013-02-04,A
41040405,MCDONALD'S,BROOKLYN,2014-06-28,
41490874,SUBWAY,MANHATTAN,2015-08-19,A
41110973,EL GRAN MAR DE PLATA,BROOKLYN,2014-02-01,
41612393,THE IRISH AMERICAN,MANHATTAN,2016-07-29,
41466148,WHISKEY SOCIAL,MANHATTAN,2014-09-24,
41649766,A & S CATERERS,STATEN ISLAND,2016-07-28,
41008388,LANDMARC,MANHATTAN,2014-05-10,
41705491,SABOR TORIBIO RESTAURANT,BROOKLYN,2014-11-10,
41419773,NATUREWORKS RESTAURANT,MANHATTAN,2015-02-11,
41271988,ECUADORIAN FOOD RESTAURANT,QUEENS,2015-07-21,
41705763,CITYSCAPES NY,QUEENS,2014-07-12,
40385885,HUNTER'S STEAK & ALE HOUSE,BROOKLYN,2015-05-26,
41705612,PEACEFOOD CAFE DOWNTOWN,MANHATTAN,2015-03-26,A
41539257,FOO KEE SEAFOOD RESTAURANT,QUEENS,2013-10-24,
41562204,GUY & GALLARD,MANHATTAN,2015-07-16,
41277104,CONNIE'S PIZZERIA,BROOKLYN,2015-03-24,B
41641200,NEW SIN LEE RESTAURANT,BROOKLYN,2014-12-02,A
50016321,NEW BAMBOO HOUSE,BROOKLYN,2015-08-11,B
41482047,MUSCLE MAKER GRILL,BRONX,2013-03-19,A
41096895,JIMBO'S HAMBURGER PLACE,MANHATTAN,2014-03-03,A
40402145,BALI NUSA INDONESIAN RESTAURANT,MANHATTAN,2014-05-14,
41344229,GRACE PIZZA,QUEENS,2016-04-11,
50001206,LITTLE TIBET,QUEENS,2014-03-05,
41656235,SUBWAY,STATEN ISLAND,2013-11-04,A
50044007,SHALON RESTAURANT,BRONX,2015-12-12,
50037497,CHICKEN PERFECT!,QUEENS,2016-03-02,
41637080,YEFSI ESTIATORIO,MANHATTAN,2013-06-28,
40865879,EURO PIZZA,STATEN ISLAND,2013-12-02,
40750264,TIMES SQUARE CAFE,MANHATTAN,2014-01-22,
50033559,DAHLIAS FINE MEXICAN CUISINE,MANHATTAN,2015-04-07,
40592811,SALTY DOG RESTAURANT,BROOKLYN,2014-11-25,A
40965177,LA GATA GOLOSA #2,QUEENS,2014-08-25,
41373642,SUBWAY,MANHATTAN,2014-07-11,A
41504766,LA NUEVA COCINA RESTAURANT,BRONX,2013-11-13,
40542345,TOWNE DELI & PIZZA,STATEN ISLAND,2013-04-01,
41480500,BLACK GOLD,BROOKLYN,2016-09-01,A
41315168,MI ESTRELLA RESTAURANT,QUEENS,2013-10-03,
41638129,GREEN POWER CAFE @EQUINOX,MANHATTAN,2014-07-28,A
50042894,BUNK SANDWICHES,BROOKLYN,2016-07-23,
